iter	Passed	Remaining
400	28853	43100
401	28923	43024
402	28983	42935
403	29048	42853
404	29122	42785
405	29197	42717
406	29264	42638
407	29352	42590
408	29431	42528
409	29510	42465
410	29580	42392
411	29642	42306
412	29710	42227
413	29776	42147
414	29850	42077
415	29925	42011
416	29997	41938
417	30077	41877
418	30151	41809
419	30223	41737
420	30305	41678
421	30397	41633
422	30502	41607
423	30587	41553
424	30689	41520
425	30749	41432
426	30838	41382
427	30911	41311
428	30975	41229
429	31046	41154
430	31111	41072
431	31186	41004
432	31223	40885
433	31288	40804
434	31358	40729
435	31456	40692
436	31528	40618
437	31609	40557
438	31675	40478
439	31747	40406
440	31817	40331
441	31894	40265
442	31960	40184
443	32031	40110
444	32107	40044
445	32155	39941
446	32231	39874
447	32308	39808
448	32385	39742
449	32473	39689
450	32543	39615
451	32621	39549
452	32693	39478
453	32765	39404
454	32849	39347
455	32947	39305
456	33019	39233
457	33097	39168
458	33165	39091
459	33241	39022
460	33318	38956
461	33392	38886
462	33482	38834
463	33550	38756
464	33616	38676
465	33692	38609
466	33762	38534
467	33829	38455
468	33894	38375
469	33973	38310
470	34044	38236
471	34121	38170
472	34185	38087
473	34255	38013
474	34325	37938
475	34396	37864
476	34476	37801
477	34540	37719
478	34615	37650
479	34682	37572
480	34740	37484
481	34803	37403
482	34876	37331
483	34947	37258
484	35021	37187
485	35097	37119
486	35162	37039
487	35230	36962
488	35296	36884
489	35368	36812
490	35431	36730
491	35524	36679
492	35597	36608
493	35657	36523
494	35721	36443
495	35791	36368
496	35862	36295
497	35936	36225
498	36010	36154
499	36087	36087
500	36154	36009
501	36222	35933
502	36294	35861
503	36363	35785
504	36434	35713
505	36505	35639
506	36599	35589
507	36662	35507
508	36727	35429
509	36795	35352
510	36860	35273
511	36927	35196
512	36993	35118
513	37071	35052
514	37139	34976
515	37211	34903
516	37287	34835
517	37362	34765
518	37436	34695
519	37506	34621
520	37602	34571
521	37676	34500
522	37748	34428
523	37816	34352
524	37884	34276
525	37943	34192
526	38006	34112
527	38079	34040
528	38167	33982
529	38230	33902
530	38296	33825
531	38356	33742
532	38417	33659
533	38498	33595
534	38570	33524
535	38728	33525
536	38788	33443
537	38850	33362
538	38917	33285
539	38977	33203
540	39036	33119
541	39103	33043
542	39170	32967
543	39239	32891
544	39301	32811
545	39371	32737
546	39440	32662
547	39514	32592
548	39594	32527
549	39656	32446
550	39753	32394
551	39822	32319
552	39890	32244
553	39966	32175
554	40029	32095
555	40093	32017
556	40160	31941
557	40232	31868
558	40297	31791
559	40364	31714
560	40434	31641
561	40503	31567
562	40604	31517
563	40682	31449
564	40788	31403
565	40854	31326
566	40926	31254
567	40997	31181
568	41068	31108
569	41135	31031
570	41201	30955
571	41262	30874
572	41342	30808
573	41415	30736
574	41497	30672
575	41570	30600
576	41645	30530
577	41717	30457
578	41822	30409
579	41918	30354
580	41984	30277
581	42054	30203
582	42119	30126
583	42199	30060
584	42271	29987
585	42341	29913
586	42414	29842
587	42476	29762
588	42538	29683
589	42605	29607
590	42668	29528
591	42725	29446
592	42819	29388
593	42888	29314
594	42957	29239
595	43024	29164
596	43091	29088
597	43158	29013
598	43228	28939
599	43296	28864
600	43364	28789
601	43437	28718
602	43497	28637
603	43564	28562
604	43626	28483
605	43679	28398
606	43750	28326
607	43836	28263
608	43945	28214
609	44025	28147
610	44101	28077
611	44177	28007
612	44254	27938
613	44359	27886
614	44452	27828
615	44554	27774
616	44646	27713
617	44718	27641
618	44788	27567
619	44864	27497
620	44944	27430
621	45015	27356
622	45074	27276
623	45150	27205
624	45208	27125
625	45288	27057
626	45362	26985
627	45438	26916
628	45501	26837
629	45578	26768
630	45646	26693
631	45720	26622
632	45789	26547
633	45849	26468
634	45943	26408
635	46003	26328
636	46077	26257
637	46148	26184
638	46213	26108
639	46298	26042
640	46368	25969
641	46433	25892
642	46507	25821
643	46583	25750
644	46643	25672
