iter	Logloss
153	0.1597479448
154	0.1597448397
155	0.1597006572
156	0.1595739476
157	0.1594035462
158	0.1593239542
159	0.1591743448
160	0.1591706932
161	0.1591430288
162	0.1591028977
163	0.1590509162
164	0.1589949349
165	0.1589918333
166	0.1589842395
167	0.1589776214
168	0.1589226809
169	0.1587156205
170	0.1586216779
171	0.1585126908
172	0.1584962583
173	0.1584785593
174	0.1583182042
175	0.158267851
176	0.158187583
177	0.15815929
178	0.1580630857
179	0.1579360953
180	0.1579090176
181	0.1578220652
182	0.1577625624
183	0.157723155
184	0.1576896533
185	0.157656437
186	0.1575382845
187	0.1575259566
188	0.1575082129
189	0.1574451615
190	0.1574371922
191	0.1574209962
192	0.1573718786
193	0.1572962562
194	0.1572667685
195	0.1572094483
196	0.1572028842
197	0.157172172
198	0.1570378965
199	0.1570019082
200	0.1569813312
201	0.1569345047
202	0.1569305741
203	0.1568468474
204	0.1568344322
205	0.1567880922
206	0.1567822588
207	0.1567130402
208	0.1566913097
209	0.156670921
210	0.1566331639
211	0.1566324814
212	0.1566064974
213	0.1565743432
214	0.1565587406
215	0.1565577517
216	0.1565248768
217	0.1564465526
218	0.156396713
219	0.1563647659
220	0.1563107971
221	0.1562915427
222	0.1562488963
223	0.1562462256
224	0.1561319958
225	0.1561170831
226	0.1561140246
227	0.1560845843
228	0.1560725885
229	0.1560702563
230	0.1560649083
231	0.1560549187
232	0.1560234486
233	0.1560176936
234	0.155980932
235	0.1559752673
236	0.1559699489
237	0.1559657709
238	0.1559615505
239	0.1559336314
240	0.1558179896
241	0.1558060514
242	0.1557920151
243	0.155790759
244	0.1557374259
245	0.1557293494
246	0.1557283383
247	0.1556686453
248	0.1556406208
249	0.1556389745
250	0.1556381163
251	0.1556161227
252	0.1555978075
253	0.1555416378
254	0.1554824584
255	0.1554741063
256	0.1554562935
257	0.1554317602
258	0.1554148143
259	0.1554037315
260	0.1553975416
261	0.1553690803
262	0.1553575337
263	0.1552842748
264	0.1552671787
265	0.1552307086
266	0.1552248197
267	0.1552016088
268	0.1551671624
269	0.1551382302
270	0.1550857077
271	0.1550746158
272	0.1550482882
273	0.155037451
274	0.1550333836
275	0.1550281751
276	0.1550278051
277	0.155027757
278	0.1550003145
279	0.1549981554
280	0.1549395733
281	0.1549210944
282	0.1549205763
283	0.154847041
284	0.1548348846
285	0.1548036923
286	0.1547341124
287	0.1547147397
288	0.1547130318
289	0.1546955493
290	0.1546952126
291	0.1546824123
292	0.1546324327
293	0.1546220844
294	0.1546100705
295	0.1546081436
296	0.1545953592
297	0.1545871244
298	0.1545845204
299	0.1545613954
300	0.1545547119
301	0.1545372334
302	0.1545347462
303	0.1545284056
304	0.1545260208
305	0.1545102778
306	0.154503641
307	0.1544834954
308	0.1544693685
309	0.1543714117
310	0.1543581345
311	0.1543420775
312	0.1543268729
313	0.1542938073
314	0.154293624
315	0.1542897861
316	0.1542794552
317	0.1542777721
318	0.1542764445
319	0.1542763482
320	0.1542634508
321	0.1542384713
322	0.1542362023
323	0.1542333594
324	0.1542321795
325	0.1542197913
326	0.1541446216
327	0.1541379496
328	0.1541352983
329	0.1541040946
330	0.1540330859
331	0.1539933312
332	0.1539932118
333	0.1539695644
334	0.1539507758
335	0.1539372623
336	0.1538801078
337	0.1538434572
338	0.1538360861
339	0.1538359162
340	0.1538214096
341	0.1538153556
342	0.1538151281
343	0.1538031442
344	0.1537943259
345	0.1537754275
346	0.1537103239
347	0.1537053001
348	0.1537013279
349	0.1536935952
350	0.1536935434
351	0.1536904995
352	0.1536830463
353	0.1536603812
354	0.1536600743
355	0.153639778
356	0.1535747036
357	0.1535372069
358	0.153500403
359	0.1534683701
360	0.153448792
361	0.1534247569
362	0.1534198404
363	0.1534196583
364	0.1534053516
365	0.1533540413
366	0.1532948714
367	0.1532759042
368	0.1532332875
369	0.1532263835
370	0.1531434827
371	0.1531409935
372	0.1531098398
373	0.1530789995
374	0.1530708519
375	0.1530358926
376	0.1530135922
377	0.1529813325
378	0.1529735912
379	0.15292423
380	0.1528915292
381	0.1528814563
382	0.1528661931
383	0.1528468439
384	0.1527872925
385	0.1527446074
386	0.1527299404
387	0.1527234649
388	0.1527120366
389	0.1526884605
390	0.1526366542
391	0.1526001793
392	0.1525959772
393	0.1525911024
394	0.152516188
395	0.1524854804
396	0.1524551711
397	0.1524438417
398	0.1524218729
399	0.1523745389
400	0.152368169
401	0.1523513303
402	0.1523456653
403	0.152325464
404	0.1523145128
405	0.1522947059
406	0.1522701451
407	0.1522180064
408	0.1522017103
409	0.1521910054
410	0.1521719642
411	0.1521486549
412	0.1521257142
413	0.1521145034
414	0.1521054762
415	0.1520789345
416	0.1520637375
417	0.1520417683
418	0.1520048952
419	0.1519604322
420	0.1519421599
421	0.1519169596
422	0.1518798778
423	0.1518620735
424	0.1518442229
425	0.1518440193
426	0.1517870812
427	0.1517490733
428	0.1517346749
429	0.1516887222
430	0.1516829925
431	0.1516457788
432	0.1516437806
433	0.1516352164
434	0.1516152756
435	0.1516024966
436	0.1515935813
437	0.1515379819
438	0.1514655461
439	0.1514566299
440	0.1514457709
441	0.1514166235
442	0.1514093204
443	0.1513817965
444	0.1513503463
445	0.1513480483
446	0.1513309074
447	0.1512980276
448	0.1512749624
449	0.1512687753
450	0.1512465994
451	0.1512423163
452	0.1512251751
453	0.1512165934
454	0.1511859596
455	0.1511639832
456	0.1511414998
457	0.1511058742
458	0.1511014881
459	0.1510876073
460	0.1510732403
461	0.1510679106
462	0.15106117
463	0.1510291097
464	0.151026117
465	0.1510161855
466	0.1510046857
467	0.150987966
468	0.1509704271
469	0.1509670132
470	0.1509327973
471	0.1509164208
472	0.1509066784
473	0.1508836265
474	0.1508337084
475	0.1508272804
476	0.1508221565
477	0.1508041636
478	0.1507813314
479	0.1507702319
480	0.1507502701
481	0.1507161858
482	0.1506753076
483	0.1506702308
484	0.1506587339
485	0.1505814573
486	0.1505767045
487	0.1505459301
488	0.1505421394
489	0.1505371856
490	0.1505280705
491	0.1505200466
492	0.1504968949
493	0.1504806449
494	0.1504407724
495	0.1504349591
496	0.1504219457
497	0.150407494
498	0.1504032911
499	0.1503673807
500	0.150356698
501	0.1503496962
502	0.1503275061
503	0.1503149577
504	0.1503106349
505	0.1502856723
506	0.1502748539
507	0.1502508129
508	0.1502452392
509	0.1502294913
510	0.1502193142
511	0.1502032906
512	0.1501932898
513	0.1501872664
514	0.1501784631
515	0.1501676668
516	0.150156142
517	0.15014181
518	0.150111501
519	0.1500857235
520	0.1500188952
521	0.1500072419
522	0.1499933661
523	0.1499798093
524	0.1499675032
525	0.1499662002
526	0.1499621018
527	0.1499470962
528	0.1499201239
529	0.1499122227
530	0.1498868746
531	0.1498847377
532	0.1498812944
533	0.1498780364
534	0.149872942
535	0.1498581376
536	0.1498556098
537	0.1498541776
538	0.1498308116
539	0.1498268941
540	0.1498200706
541	0.1498171938
542	0.1497606223
543	0.1497524527
544	0.1497388384
545	0.1497246984
546	0.1497203045
547	0.1496978119
548	0.1496914846
549	0.149689164
550	0.1496829369
551	0.1496802308
552	0.1496581406
553	0.149583246
554	0.1495812656
555	0.1495771052
556	0.1495721055
557	0.149535535
558	0.1495315557
559	0.1495229576
560	0.149506423
561	0.1494850082
562	0.1494772542
563	0.149471194
564	0.1494605939
565	0.1494503848
566	0.1494452901
567	0.1494000089
568	0.1493769737
569	0.14936956
570	0.1493619345
571	0.1493499938
572	0.149336088
573	0.1493122097
574	0.1492925852
575	0.1492759944
576	0.1492068868
577	0.1491885539
578	0.1491875302
579	0.1491454771
580	0.1491186154
581	0.1490948128
582	0.1490877673
583	0.1490837766
584	0.1490801732
585	0.1490767652
586	0.1490588428
587	0.1490496018
588	0.1490428742
589	0.149032924
590	0.1490222617
591	0.1490189257
592	0.1490138147
593	0.1490045907
594	0.1490008676
595	0.148987103
596	0.1489840657
597	0.1489659826
598	0.1489629278
599	0.1489591762
600	0.148955532
601	0.1489526956
602	0.1489517322
603	0.148945937
604	0.1489370231
605	0.1489332278
606	0.1489289399
607	0.1489161758
608	0.1489086227
609	0.1489062423
610	0.1488921979
611	0.1488866097
612	0.1488853598
613	0.1488703022
614	0.1488692928
615	0.148866238
616	0.1488639937
617	0.1488561456
618	0.1488533473
619	0.1488482046
620	0.1488453484
621	0.1488397649
622	0.1488323069
623	0.1488224682
624	0.1488153988
625	0.1488143926
626	0.1488100347
627	0.1488060861
628	0.1488011542
629	0.1487915497
630	0.1487896516
631	0.1487692557
632	0.1487677285
633	0.1487638777
634	0.1487622823
635	0.1487608751
636	0.1487537474
637	0.1487427066
638	0.1487200316
639	0.1487057085
640	0.1486577087
641	0.1486428149
642	0.148638492
643	0.1485800147
644	0.1485656149
645	0.1485645187
646	0.1485631195
647	0.1485348048
648	0.148510477
649	0.1485093895
650	0.1484883905
651	0.1484606783
652	0.1484521466
653	0.1484345213
654	0.1484285869
655	0.1484153371
656	0.1484129717
657	0.1483799515
658	0.1483632128
659	0.1483585331
660	0.1483505556
661	0.1483467696
662	0.1483398114
663	0.1483356107
664	0.1483231604
665	0.1483192783
666	0.1482639006
667	0.1482588452
668	0.1482471432
669	0.1482433893
670	0.1482410139
671	0.1482287486
672	0.1482260053
673	0.14821058
674	0.1482101776
675	0.1482075331
676	0.1482046664
677	0.1482029427
678	0.1481941504
679	0.1481873523
680	0.1481854998
681	0.1481792671
682	0.1481524119
683	0.1481505829
684	0.1481453652
685	0.1481442616
686	0.1481396744
687	0.1481389696
688	0.1481370047
689	0.1481349125
690	0.1481313172
691	0.1481293828
692	0.1481114868
693	0.1481063735
694	0.1481052593
695	0.148101741
696	0.1480772138
697	0.1480450205
698	0.1480409552
699	0.1480306657
700	0.1480283808
701	0.1480242024
702	0.148012093
703	0.1480029417
704	0.1479963059
705	0.1479712136
706	0.14797016
707	0.1479672004
708	0.1479596378
709	0.1479582228
710	0.1479492217
711	0.1479348096
712	0.1479315097
713	0.1479261252
714	0.147919016
715	0.1479175112
716	0.1479136149
717	0.1479097909
718	0.1479084414
719	0.1478668597
720	0.1478171306
721	0.1478122551
722	0.1478082761
723	0.1478062806
724	0.1478054126
725	0.1477859692
726	0.1477752791
727	0.1477696383
728	0.1477646149
729	0.1477634203
730	0.1477628997
731	0.1477481195
732	0.1477465403
733	0.1477453918
734	0.147742568
735	0.1477240603
736	0.1477236675
737	0.1477013533
738	0.1476996646
739	0.1476929378
740	0.1476893598
741	0.1476850562
742	0.1476727138
743	0.1476722005
744	0.147665034
745	0.1476592177
746	0.1476574632
747	0.1476551337
748	0.1476435121
749	0.1476396171
750	0.1476393326
751	0.147615585
752	0.1475941543
753	0.1475929652
754	0.1475698779
755	0.1475384439
756	0.1475372531
757	0.1475353105
758	0.1475210598
759	0.1475043078
760	0.1475029136
761	0.1475002633
762	0.1474994868
763	0.147487892
764	0.1474820853
765	0.1474786966
766	0.1474520833
767	0.1474473894
768	0.1474384183
769	0.1474379846
770	0.1474297876
771	0.1474244594
772	0.1474065529
773	0.1473971498
774	0.147391817
775	0.1473904917
776	0.1473901864
777	0.1473800742
778	0.1473787365
779	0.1473671938
780	0.1473668981
781	0.1473617039
782	0.1473607894
783	0.1473384457
784	0.1473193277
785	0.1473009264
786	0.1472958523
787	0.1472837201
788	0.1472800803
789	0.1472537281
790	0.1472493675
791	0.1472483546
792	0.1472445561
793	0.1472305876
794	0.1472302936
795	0.1472291931
796	0.1472238157
797	0.1472075475
798	0.1472070283
799	0.1472060707
800	0.1472058024
801	0.1472031003
802	0.1472001385
803	0.147199726
804	0.1471994433
805	0.14719918
806	0.1471973027
807	0.14719646
808	0.1471928479
809	0.1471922628
810	0.1471912529
811	0.1471757648
812	0.1471624903
813	0.1471555154
814	0.1471551332
815	0.1471058503
816	0.1470938933
817	0.1470883383
818	0.1470859138
819	0.147079832
820	0.1470776162
821	0.1470774153
822	0.1470766056
823	0.1470556982
824	0.1470542585
825	0.1470521381
826	0.147049702
827	0.1470427212
828	0.1470226034
829	0.1470050464
830	0.1469871973
831	0.1469770837
832	0.1469766253
833	0.1469763801
834	0.1469729382
835	0.1469672189
836	0.1469660592
837	0.1469652412
838	0.1469610115
839	0.1469599598
840	0.1469570359
841	0.1469399475
842	0.1469389972
843	0.1469363117
844	0.1469054231
845	0.146905133
846	0.1469039265
847	0.1468928641
848	0.1468896769
849	0.1468832939
850	0.1468794767
851	0.1468732007
852	0.1468729975
853	0.1468679312
854	0.1468646596
855	0.1468317326
856	0.1468241945
857	0.146806323
858	0.1468061621
859	0.1467897328
860	0.1467872953
861	0.1467794175
862	0.1467769642
863	0.1467749859
864	0.1467548407
865	0.1467476857
866	0.1467471088
867	0.1467457155
868	0.1467452569
869	0.1467437249
870	0.146741935
871	0.1467343888
872	0.1466794672
873	0.1466793003
874	0.1466691862
875	0.1466687802
876	0.1466681509
877	0.146667554
878	0.1466656769
879	0.1466607927
880	0.1466514168
881	0.1466463507
882	0.1466360012
883	0.1466217384
884	0.1466141908
885	0.1466119062
886	0.1465921175
887	0.1465793969
888	0.1465785825
889	0.1465609627
890	0.1465604157
891	0.1465505471
892	0.1465493884
893	0.1465460064
894	0.1465458668
895	0.1465321945
896	0.1465308063
897	0.1465300506
898	0.1465205227
899	0.1465131934
900	0.1464990997
901	0.1464968194
902	0.1464862905
903	0.1464854444
904	0.1464831488
905	0.1464830097
906	0.1464447248
907	0.1464184457
908	0.1464148514
909	0.1464140497
910	0.1463931753
911	0.1463881073
912	0.1463774712
913	0.1463689431
914	0.1463601638
915	0.1463578929
916	0.1463546712
917	0.1463545553
918	0.146352343
919	0.1463470513
920	0.1463426705
921	0.1463391355
922	0.1463314812
923	0.1463185128
924	0.1463168932
925	0.1463167515
926	0.146315285
927	0.1463115456
928	0.1463061429
929	0.1463059987
930	0.1462741786
931	0.1462690613
932	0.1462689376
933	0.14625738
934	0.1462475432
935	0.1462397014
936	0.1462363621
937	0.1462249568
938	0.1462215552
939	0.1462205326
940	0.1462204257
941	0.1462189993
942	0.1462178754
943	0.1462159001
944	0.1462158035
945	0.1461998946
946	0.1461959358
947	0.1461958045
948	0.1461916841
949	0.1461881426
950	0.1461862882
951	0.1461840656
952	0.1461834753
953	0.1461826898
954	0.1461672843
955	0.1461663998
956	0.1461547139
957	0.1461487849
958	0.1461486864
959	0.146146426
960	0.1461440275
961	0.1461293539
962	0.1461272422
963	0.1461197611
964	0.1461077397
965	0.1461076508
966	0.1460991377
967	0.1460966636
968	0.1460909528
969	0.1460909165
970	0.1460906645
971	0.1460768777
972	0.1460659227
973	0.1460652913
974	0.146065211
975	0.1460620941
976	0.1460617226
977	0.1460604365
978	0.1460599322
979	0.1460594935
980	0.1460541068
981	0.1460498556
982	0.1460465537
983	0.1460456427
984	0.1460378
985	0.1460345932
986	0.1460341917
987	0.1460168736
988	0.1460157799
989	0.1460122337
990	0.1460121534
991	0.1460120757
992	0.1460068469
993	0.1460066224
994	0.1460041166
995	0.1460023144
996	0.1459997487
997	0.1459975204
998	0.1459490536
999	0.1459343625
