iter	RMSE
256	0.9164634445
257	0.9164141559
258	0.916361022
259	0.9162854485
260	0.9162417996
261	0.9161967107
262	0.916144316
263	0.9160994397
264	0.915981663
265	0.9159201975
266	0.9158759915
267	0.9158043625
268	0.9157382895
269	0.9156014423
270	0.9154972726
271	0.9154256713
272	0.9153799397
273	0.9152798402
274	0.9151808688
275	0.9151382496
276	0.915087792
277	0.9150403117
278	0.9149980539
279	0.914952993
280	0.9148636948
281	0.9147860995
282	0.9146690282
283	0.9146142411
284	0.9145100119
285	0.9144714778
286	0.9143855825
287	0.9143178472
288	0.9142616749
289	0.9142155138
290	0.914147773
291	0.914079131
292	0.9139987671
293	0.9139604727
294	0.9138884184
295	0.9138455486
296	0.913807807
297	0.9137515138
298	0.9136520447
299	0.9135911726
300	0.9135246373
301	0.9134378502
302	0.9133685599
303	0.9132774034
304	0.913230638
305	0.9131764638
306	0.9131275029
307	0.9130454038
308	0.9129941191
309	0.912924805
310	0.9128450789
311	0.9127535623
312	0.9126855522
313	0.9125997211
314	0.9125580386
315	0.9124997799
316	0.9124538645
317	0.9124013764
318	0.9123416408
319	0.9122878267
320	0.9122479012
321	0.9122003811
322	0.9121459419
323	0.9120961787
324	0.9120204512
325	0.9119782418
326	0.9118856366
327	0.9117943497
328	0.9117567603
329	0.9117186882
330	0.9116376493
331	0.9115807861
332	0.9115478344
333	0.9115060134
334	0.9114570373
335	0.9114102632
336	0.9113254487
337	0.9112647661
338	0.9112297074
339	0.9111481858
340	0.911096076
341	0.9110661809
342	0.9109971537
343	0.9109143742
344	0.9108766771
345	0.910834583
346	0.9107658795
347	0.9107214712
348	0.9106644391
349	0.9106104822
350	0.9105610085
351	0.9105065298
352	0.9103613302
353	0.910321655
354	0.910272396
355	0.9102141932
356	0.9101769812
357	0.9101235122
358	0.910080484
359	0.9100541966
360	0.9099979426
361	0.9099421054
362	0.909897618
363	0.9098629247
364	0.9097879297
365	0.9097380161
366	0.9097039201
367	0.90964713
368	0.9095841645
369	0.909542726
370	0.9094952844
371	0.9094240407
372	0.9093924175
373	0.9093174336
374	0.9092780257
375	0.9092197197
376	0.9091802345
377	0.9091500026
378	0.9091079497
379	0.9090743821
380	0.9090282488
381	0.9089795584
382	0.908889091
383	0.9088545534
384	0.9088102102
385	0.9087532398
386	0.9086878986
387	0.9086201117
388	0.9085613872
389	0.9085317346
390	0.9085082799
391	0.9084375158
392	0.9083962465
393	0.9083653975
394	0.9082817684
395	0.9082313913
396	0.9082018097
397	0.9081583337
398	0.9081121962
399	0.9080510181
400	0.9079894351
401	0.9079588144
402	0.907911749
403	0.9078823566
404	0.9078378554
405	0.9078121487
406	0.9077619353
407	0.9077179088
408	0.9076559346
409	0.9076009701
410	0.907540501
411	0.9074845596
412	0.9074354874
413	0.9073904057
414	0.9073485523
415	0.9073205174
416	0.9072773259
417	0.90723925
418	0.9071861219
419	0.9071238687
420	0.9070970454
421	0.9070561676
422	0.9070142389
423	0.9069825471
424	0.9069166622
425	0.9068953747
426	0.9068489498
427	0.9067888607
428	0.9067279994
429	0.9066756019
430	0.9066271553
431	0.9065931799
432	0.9065549622
433	0.9065138211
434	0.9064823747
435	0.9064215359
436	0.9063663399
437	0.9063361516
438	0.9062876549
439	0.9062654167
440	0.9062266362
441	0.9061929047
442	0.9061725694
443	0.906139093
444	0.9061102964
445	0.9060790313
446	0.9060226443
447	0.9059846734
448	0.9059451217
449	0.9059006629
450	0.9058707185
451	0.9058276313
452	0.9058032805
453	0.9057644307
454	0.9057210995
455	0.9056936002
456	0.905641668
457	0.9056129827
458	0.905574811
459	0.9055472732
460	0.9055178654
461	0.9053713329
462	0.9053354309
463	0.9052743502
464	0.9052211858
465	0.9052011496
466	0.9051594107
467	0.9051304509
468	0.9050758188
469	0.9049852276
470	0.9049419111
471	0.9049133156
472	0.9048700707
473	0.9048429718
474	0.9048278513
475	0.9047837832
476	0.9046956812
477	0.904658081
478	0.904618939
479	0.9045713889
480	0.9045035251
481	0.9044685556
482	0.9044313307
483	0.9043909051
484	0.9043448
485	0.90430374
486	0.9042429045
487	0.9042093349
488	0.9041849445
489	0.9041205992
490	0.9040946641
491	0.904071867
492	0.90404355
493	0.9040036478
494	0.903960479
495	0.9039112687
496	0.9038760663
497	0.9038254091
498	0.9037873841
499	0.9037474161
500	0.9037198981
501	0.9036733216
502	0.9036553064
503	0.9036352288
504	0.9036007107
505	0.9035565681
506	0.9035185927
507	0.9034848776
508	0.9034594704
509	0.9034327857
510	0.9033930326
511	0.9033471744
512	0.9032966179
513	0.9032749758
514	0.9032510967
515	0.9031972818
516	0.9031673997
517	0.903113002
518	0.9030973203
519	0.9030586397
520	0.9030291046
521	0.9029857311
522	0.902946955
523	0.9029045393
524	0.9028453931
525	0.9028131113
526	0.9027734239
527	0.9027407543
528	0.9027201478
529	0.9026857883
530	0.9026468241
531	0.9026130413
532	0.902568781
533	0.9025332358
534	0.9025010951
535	0.9024547194
536	0.9024314139
537	0.9024102551
538	0.9023780554
539	0.9023354226
540	0.902323396
541	0.9023051998
542	0.9022395412
543	0.9021949297
544	0.9021400068
545	0.9021070152
546	0.9020723583
547	0.9020448739
548	0.9020087125
549	0.9019774831
550	0.9019490172
551	0.9019094973
552	0.9018864264
553	0.9018711744
554	0.9018272204
555	0.9018020818
556	0.9017701655
557	0.9017297715
558	0.901694876
559	0.9016670428
560	0.9016408915
561	0.9015422138
562	0.9015262034
563	0.9015023858
564	0.9014173198
565	0.9014012827
566	0.9013763152
567	0.9013546714
568	0.9013340351
569	0.9012927277
570	0.9012154544
571	0.9011659778
572	0.9011451032
573	0.9011228641
574	0.9011057231
575	0.9010880778
576	0.9010601143
577	0.9010329271
578	0.9010062332
579	0.9009553384
580	0.9008785717
581	0.9008445399
582	0.9008193481
583	0.9007674668
584	0.9007443626
585	0.9007227766
586	0.9006940053
587	0.9006556566
588	0.9005608594
589	0.9004982627
590	0.9004792298
591	0.9004410677
592	0.9004127983
593	0.9003935237
594	0.9003652821
595	0.9003389389
596	0.9003211195
597	0.9002797081
598	0.900163639
599	0.9001284943
600	0.9000787675
601	0.9000310958
602	0.900006062
603	0.8999830774
604	0.8999667186
605	0.8998742485
606	0.8998079594
607	0.8997770127
608	0.8997599321
609	0.8997084271
610	0.8996677817
611	0.8996429374
612	0.8996079819
613	0.8995790031
614	0.899546569
615	0.8995323861
616	0.8995021387
617	0.8994762129
618	0.8994567604
619	0.8993982997
620	0.8993250773
621	0.8992940992
622	0.8992666952
623	0.8992397942
624	0.8992045329
625	0.8991718405
626	0.8991383697
627	0.8991112233
628	0.8990783026
629	0.8990577524
630	0.8990115769
631	0.8989700614
632	0.8989450283
633	0.8989071005
634	0.8988892174
635	0.8988173514
636	0.8987855145
637	0.8987697864
638	0.8987488519
639	0.8987122384
640	0.8986723373
641	0.8986399572
642	0.8986226143
643	0.8985989417
644	0.8985843443
645	0.8985424808
646	0.8985145434
647	0.8984969689
648	0.8984760578
649	0.8984583996
