iter	RMSE
0	1.233733748
1	1.212283597
2	1.192526834
3	1.174244794
4	1.157304846
5	1.141892176
6	1.127414036
7	1.114042061
8	1.101787576
9	1.090450254
10	1.079915877
11	1.070167994
12	1.061433817
13	1.053315452
14	1.045709601
15	1.038674306
16	1.032294803
17	1.026226461
18	1.020757088
19	1.015636187
20	1.01098449
21	1.00667096
22	1.002478918
23	0.9987022789
24	0.9951524943
25	0.9919772135
26	0.9889557166
27	0.9861121897
28	0.9835021409
29	0.9810681825
30	0.9786880509
31	0.9766593318
32	0.9745456707
33	0.9726161961
34	0.9708328633
35	0.9690797117
36	0.9675366408
37	0.9659936173
38	0.9645727313
39	0.9632804711
40	0.9619644071
41	0.9606784906
42	0.9594073914
43	0.9583705126
44	0.9572692117
45	0.9562665678
46	0.9552425274
47	0.9543478056
48	0.9534465919
49	0.9526173377
50	0.9519188815
51	0.9511940885
52	0.9505101115
53	0.9498832569
54	0.9493059111
55	0.9487113133
56	0.9481572154
57	0.947486243
58	0.9469958832
59	0.9464996573
60	0.94604243
61	0.9454095415
62	0.9448740869
63	0.9444046693
64	0.9440256354
65	0.9434874663
66	0.9431556529
67	0.9428091335
68	0.9423459714
69	0.9420400118
70	0.9416908254
71	0.9412202881
72	0.9409376821
73	0.940526989
74	0.9401555521
75	0.9397271793
76	0.9394486367
77	0.9392093961
78	0.9388119516
79	0.9385093104
80	0.9382095822
81	0.9378353568
82	0.9376414826
83	0.937386304
84	0.9370127018
85	0.9367458903
86	0.9365373001
87	0.936284583
88	0.9360475925
89	0.9358625869
90	0.9356646005
91	0.9354824278
92	0.9352851516
93	0.9348945615
94	0.9347129764
95	0.9345048065
96	0.9342477473
97	0.9340657266
98	0.93393661
99	0.9336914667
100	0.9335439691
101	0.9333344507
102	0.9331226419
103	0.9328399339
104	0.9326783508
105	0.9324317955
106	0.932265049
107	0.9321190801
108	0.9319254078
109	0.9317835416
110	0.9314688105
111	0.9312710925
112	0.931170661
113	0.9310127685
114	0.9308371251
115	0.9306812269
116	0.9305091173
117	0.9303860326
118	0.9302588339
119	0.9301299803
120	0.9299273426
121	0.929780955
122	0.9296656112
123	0.9295491683
124	0.9292589759
125	0.929124899
126	0.9289608975
127	0.9288313655
128	0.9287034609
129	0.9285466941
130	0.9284298488
131	0.9282841808
132	0.928143818
133	0.92797567
134	0.9278360616
135	0.9277236307
136	0.9276142286
137	0.9275276386
138	0.9274459115
139	0.9273373892
140	0.9272217831
141	0.9271306367
142	0.9270262957
143	0.9268990384
144	0.9267669975
145	0.9266031729
146	0.9264680456
147	0.9262830859
148	0.9261632295
149	0.9260125357
150	0.925920854
151	0.92583989
152	0.925708758
153	0.9256185205
154	0.9254671705
155	0.9253865091
156	0.9252880619
157	0.9251684705
158	0.9250686818
159	0.9249653066
160	0.9248215929
161	0.9247325855
162	0.9245457482
163	0.924463256
164	0.9243686557
165	0.9242391804
166	0.9240712291
167	0.923993921
168	0.9238374846
169	0.923691219
170	0.9236179527
171	0.9235241686
172	0.9233971419
173	0.9232669197
174	0.9232074734
175	0.9231450089
176	0.9230196628
177	0.9229202973
178	0.9228294791
179	0.9227503216
180	0.9226900919
181	0.9226302454
182	0.9225639286
183	0.9224858027
184	0.9224102698
185	0.9223435392
186	0.9222053168
187	0.9220947027
188	0.9220304136
189	0.9219564827
190	0.9218742625
191	0.9217051665
192	0.9215841766
193	0.9215161995
194	0.9214397868
195	0.9213579462
196	0.9213036927
197	0.9212282926
198	0.9211386004
199	0.9210201358
200	0.920939817
201	0.9208571003
202	0.9207982484
203	0.9207211319
204	0.9206403965
205	0.9205553363
206	0.9204757972
207	0.9204113647
208	0.9203540698
209	0.9202742906
210	0.9201799799
211	0.920102406
212	0.9199463346
213	0.9198540496
214	0.9197973356
215	0.9196460779
216	0.919535294
217	0.9194187725
218	0.9193689548
219	0.9193199305
220	0.9192332693
221	0.9191641719
222	0.9190726027
223	0.9190235159
224	0.9189620949
225	0.918894279
226	0.91886539
227	0.9187395566
228	0.9186640451
229	0.918538374
230	0.918482514
231	0.9183569843
232	0.9182798616
233	0.9182243289
234	0.9181965504
235	0.9181327985
236	0.918048146
237	0.917977667
238	0.9179150322
239	0.9178597129
240	0.9177884747
241	0.9177424422
242	0.9176713484
243	0.9176171936
244	0.9175652013
245	0.9175162978
246	0.9173750842
247	0.9172608878
248	0.9171969362
249	0.9170262607
250	0.9169640658
251	0.9169197593
252	0.9168374782
253	0.9167110094
254	0.9166366223
255	0.9165947539
