iter	Passed	Remaining
0	43	43810
1	151	75514
2	200	66697
3	250	62374
4	301	60002
5	363	60269
6	452	64145
7	537	66707
8	590	64991
9	649	64260
10	733	65952
11	797	65637
12	867	65847
13	942	66353
14	1008	66215
15	1066	65575
16	1136	65689
17	1213	66213
18	1243	64220
19	1312	64316
20	1388	64738
21	1433	63736
22	1506	63981
23	1567	63751
24	1613	62912
25	1689	63284
26	1751	63134
27	1827	63427
28	1896	63487
29	1972	63787
30	2026	63352
31	2094	63373
32	2161	63325
33	2216	62982
34	2263	62401
35	2312	61918
36	2381	61988
37	2469	62527
38	2541	62620
39	2607	62587
40	2671	62475
41	2731	62310
42	2795	62215
43	2841	61730
44	2903	61613
45	2961	61422
46	3026	61363
47	3099	61468
48	3150	61142
49	3208	60967
50	3282	61075
51	3350	61074
52	3407	60887
53	3479	60955
54	3542	60866
55	3598	60661
56	3643	60270
57	3692	59965
58	3771	60152
59	3845	60243
60	3918	60317
61	3982	60245
62	4035	60016
63	4095	59895
64	4165	59922
65	4219	59705
66	4286	59691
67	4343	59537
68	4402	59407
69	4448	59102
70	4516	59092
71	4584	59086
72	4653	59089
73	4719	59052
74	4788	59063
75	4852	58995
76	4922	59006
77	4990	58987
78	5051	58896
79	5101	58672
80	5159	58535
81	5226	58516
82	5302	58584
83	5362	58476
84	5425	58404
85	5497	58426
86	5536	58100
87	5589	57929
88	5662	57965
89	5731	57946
90	5778	57722
91	5850	57744
92	5925	57793
93	5986	57702
94	6055	57683
95	6115	57585
96	6181	57540
97	6227	57320
98	6295	57294
99	6361	57249
100	6404	57009
101	6441	56709
102	6473	56377
103	6515	56133
104	6580	56089
105	6650	56086
106	6708	55984
107	6754	55787
108	6801	55598
109	6871	55598
110	6939	55582
111	7000	55504
112	7049	55335
113	7115	55300
114	7181	55269
115	7224	55057
116	7300	55095
117	7364	55044
118	7436	55053
119	7484	54886
120	7545	54814
121	7594	54657
122	7657	54596
123	7708	54454
124	7743	54203
125	7810	54174
126	7874	54127
127	7946	54134
128	8008	54073
129	8056	53917
130	8123	53891
131	8167	53709
132	8206	53498
133	8269	53440
134	8309	53245
135	8357	53091
136	8385	52824
137	8435	52693
138	8504	52676
139	8548	52513
140	8611	52463
141	8663	52345
142	8731	52326
143	8780	52197
144	8821	52016
145	8851	51777
146	8901	51655
147	8945	51498
148	8988	51338
149	9037	51211
150	9104	51187
151	9135	50965
152	9191	50884
153	9255	50845
154	9334	50886
155	9397	50844
156	9472	50863
157	9517	50717
158	9577	50656
159	9629	50556
160	9653	50308
161	9673	50040
162	9739	50011
163	9788	49898
164	9842	49809
165	9908	49780
166	9940	49584
167	10009	49572
168	10062	49480
169	10104	49335
170	10148	49199
171	10195	49080
172	10258	49040
173	10319	48990
174	10378	48928
175	10430	48833
176	10493	48790
177	10551	48726
178	10594	48591
179	10655	48540
180	10691	48379
181	10759	48357
182	10791	48179
183	10841	48077
184	10908	48054
185	10961	47969
186	11024	47931
187	11075	47838
188	11101	47634
189	11129	47448
190	11168	47305
191	11224	47237
192	11290	47210
193	11346	47138
194	11417	47132
195	11485	47112
196	11528	46990
197	11590	46947
198	11648	46888
199	11716	46867
200	11774	46804
201	11844	46792
202	11917	46787
203	11984	46762
204	12038	46683
205	12109	46675
206	12179	46658
207	12252	46653
208	12321	46633
209	12388	46604
210	12426	46465
211	12490	46427
212	12545	46355
213	12607	46304
214	12670	46263
215	12739	46239
216	12774	46094
217	12842	46066
218	12903	46015
219	12947	45903
220	13010	45860
221	13071	45807
222	13139	45783
223	13204	45745
224	13265	45692
225	13336	45675
226	13417	45691
227	13480	45644
228	13546	45607
229	13636	45651
230	13714	45656
231	13786	45638
232	13852	45601
233	13921	45573
234	13992	45549
