iter	Logloss	Accuracy
0	0.3008423873	0.9426282663
1	0.2325034675	0.9426282663
2	0.1935621603	0.9426282663
3	0.1816199748	0.942513828
4	0.1767309501	0.943696357
5	0.1742153289	0.9464810223
6	0.1712370194	0.9469387755
7	0.1685433013	0.9480068663
8	0.1657557288	0.9492656876
9	0.1652300355	0.949418272
10	0.1648460178	0.9492656876
11	0.164794261	0.949418272
12	0.1647696381	0.9493038337
13	0.1627751777	0.9499523174
14	0.1621934531	0.9496852947
15	0.1619968059	0.9494945642
16	0.1614768432	0.9496852947
17	0.1614765703	0.9496852947
18	0.1606931578	0.9500286096
19	0.1606375209	0.950181194
20	0.1600477629	0.9507533855
21	0.159987056	0.9507533855
22	0.1591605972	0.9504482167
23	0.1577903986	0.9509059699
24	0.1570882231	0.9510204082
25	0.1568292125	0.9511348465
26	0.156632795	0.9511729926
27	0.1562911471	0.9514018692
28	0.1561926533	0.951325577
29	0.1559978574	0.9514400153
30	0.1556987107	0.9517451841
31	0.1555606423	0.951707038
32	0.1554265187	0.9518214763
33	0.1552277196	0.9517833302
34	0.1549382684	0.9518977685
35	0.1543957758	0.9523173755
36	0.1539478026	0.9522410833
37	0.1534061001	0.9522410833
38	0.1531839938	0.9526606904
39	0.1528430864	0.9528132748
40	0.1527341555	0.9527369826
41	0.1523664321	0.9528132748
42	0.151200949	0.9536906351
43	0.1510496628	0.9537669273
44	0.1508548375	0.953652489
45	0.150797366	0.9535761968
46	0.1503206146	0.9534999046
47	0.1502045222	0.9538050734
48	0.150016815	0.9540720961
49	0.1499893427	0.9540720961
50	0.1499689664	0.9541102422
51	0.149964967	0.9541102422
52	0.1496876075	0.9543391188
53	0.1493999376	0.9545679954
54	0.1493921944	0.9545679954
55	0.149042077	0.9543391188
56	0.1489337053	0.9542628266
57	0.1487595336	0.9542628266
58	0.1486779817	0.9544917032
59	0.1486361644	0.9546442876
60	0.1465112056	0.9558268167
61	0.1463791275	0.955941255
62	0.1462131516	0.955941255
63	0.1461494321	0.9557886706
64	0.145970974	0.9564371543
65	0.1459019682	0.9562845699
66	0.1458745767	0.956322716
67	0.145782158	0.956322716
68	0.1457762642	0.956322716
69	0.1457737425	0.9563608621
70	0.1456702185	0.9562464238
71	0.1456335867	0.9562845699
72	0.1451589835	0.9567804692
73	0.1451504752	0.9568567614
74	0.1449869957	0.9565897387
75	0.1449159251	0.9565897387
76	0.1443550888	0.9569711997
77	0.1443388436	0.9569330536
78	0.1442839543	0.9569711997
79	0.1439145112	0.9568949075
80	0.1434344657	0.9570474919
81	0.1431048042	0.957085638
82	0.1430114751	0.9571237841
83	0.142820715	0.9572382224
84	0.1424551433	0.9575052451
85	0.1424461845	0.9575433912
86	0.1423500528	0.9575433912
87	0.1423343549	0.9575052451
88	0.1423041727	0.9574289529
89	0.1422812382	0.957467099
90	0.1422786687	0.957467099
91	0.1422239182	0.957467099
92	0.142095432	0.9576959756
93	0.1419162926	0.9576959756
94	0.1417774136	0.9577722678
95	0.1415178449	0.9579248522
96	0.1414632943	0.9579629983
97	0.1412692213	0.9580774366
98	0.1410174412	0.9581918749
99	0.1409857861	0.9583826054
100	0.1409737345	0.9583826054
101	0.1409298245	0.9584207515
102	0.1407122399	0.958611482
103	0.1406971478	0.958611482
104	0.1406610499	0.9585351898
105	0.1403924962	0.9584970437
106	0.1402551053	0.9585351898
107	0.1402433339	0.9585351898
108	0.140043792	0.9589547969
109	0.1400368005	0.958992943
110	0.1399822029	0.9592218196
111	0.139940582	0.9591836735
112	0.1398730001	0.9592599657
113	0.1398688442	0.9592599657
114	0.1397043283	0.9592981118
115	0.1392271592	0.959755865
116	0.1391138676	0.9599084494
117	0.1391018693	0.9599847416
118	0.1390943349	0.9599084494
119	0.1389926606	0.9600228877
120	0.1389811854	0.9600991799
121	0.1387348949	0.9602517643
122	0.1386611894	0.9600991799
123	0.138523626	0.9602899104
124	0.1383469105	0.9604806409
125	0.1383382664	0.9605569331
126	0.1382014516	0.9605569331
127	0.1380428805	0.9606713714
128	0.137987069	0.9607095175
129	0.1379556146	0.9606713714
130	0.1379320131	0.9605950792
131	0.1377397262	0.9605569331
132	0.1377361555	0.9605950792
133	0.1376599949	0.9603280565
134	0.137571135	0.9605950792
135	0.1375308648	0.9607476636
136	0.1374619291	0.9606713714
137	0.1373877087	0.9607476636
138	0.1372883079	0.9607476636
139	0.1372572611	0.9607476636
140	0.1372171038	0.9607476636
141	0.1371483067	0.9608621019
142	0.1370138373	0.9608239558
143	0.1369906257	0.9608621019
144	0.1369516878	0.9608621019
145	0.136948535	0.9608621019
146	0.1369425818	0.9609002479
147	0.1369109895	0.9609002479
148	0.1368558706	0.9609765401
149	0.1368339355	0.9610528323
150	0.1367965361	0.9611291245
151	0.1367954156	0.9610909784
152	0.1366938304	0.9611672706
153	0.1366674637	0.9612054167
154	0.1366540958	0.9611672706
155	0.136634494	0.9611672706
156	0.1366319901	0.9611672706
157	0.1366221056	0.9609765401
158	0.1366045633	0.9610528323
159	0.1365513418	0.9611672706
160	0.1364587889	0.9611672706
161	0.1364033019	0.9610528323
162	0.1362791354	0.961319855
163	0.1362772947	0.9612435628
164	0.136264066	0.9612817089
165	0.1362339136	0.9613961472
166	0.1361762321	0.961319855
167	0.1361675715	0.961319855
168	0.1361547372	0.9614342933
169	0.1360685865	0.9614342933
170	0.1360615985	0.9614342933
171	0.1360497987	0.9614724394
172	0.1360039772	0.9615105855
173	0.1359619979	0.9614724394
174	0.1358315798	0.9613961472
175	0.1358015288	0.9613961472
176	0.1357635397	0.9614724394
177	0.1356592465	0.9616631699
178	0.1356458067	0.9615868777
179	0.1353713963	0.9617776082
180	0.1353490532	0.9617776082
181	0.135344456	0.9617776082
182	0.135340981	0.9617776082
183	0.1351418675	0.9620446309
184	0.1351052875	0.9620446309
185	0.1350911287	0.9620446309
186	0.1350000922	0.9621209231
187	0.1349391702	0.9621972153
188	0.1344292277	0.9621590692
189	0.1343933401	0.9621209231
190	0.1343693954	0.9621972153
191	0.13420966	0.962082777
192	0.1340466798	0.962082777
193	0.1338769801	0.962082777
194	0.1337636577	0.9621209231
195	0.1336603553	0.9621590692
196	0.1336394391	0.9622353614
197	0.1336291243	0.9621972153
198	0.1336139182	0.9621590692
199	0.1335253783	0.9625023841
200	0.133447439	0.962464238
201	0.1331579811	0.9628075529
202	0.1331386619	0.9627694068
203	0.1331199993	0.9628075529
204	0.1330402353	0.9625786763
205	0.1330223075	0.9625405302
206	0.1327343905	0.9623879458
207	0.1327171192	0.9623879458
208	0.1327113633	0.9624260919
209	0.1326796717	0.9624260919
210	0.1326792709	0.9624260919
211	0.1326786262	0.9624260919
212	0.1325979838	0.9626549685
213	0.1325463869	0.9625405302
214	0.1325341559	0.9625786763
215	0.132528094	0.9626168224
216	0.1325261552	0.9626931146
217	0.1324787427	0.962845699
218	0.1324753493	0.9628075529
219	0.1321441746	0.9627312607
220	0.1321395736	0.9627312607
221	0.1321186514	0.9626549685
222	0.1321169897	0.9626549685
223	0.1320335717	0.9627312607
224	0.1320228008	0.9627694068
225	0.1319676552	0.9626168224
226	0.1319649447	0.9626168224
227	0.1318920477	0.9626931146
228	0.1314477861	0.9626931146
229	0.1312550551	0.9628838451
230	0.1312489297	0.9628838451
231	0.1312409103	0.9629219912
